Number,Name,Comments,Merged,State,Labels,Created,Closed,Commit,Files,Url
24318,#24318_Add_simplified_Teensy_3_[56]_board_support_Adds_universal_Serial_wrapper_for_Emergency_Parser_suppor,1,False,closed,"['C: Boards/Pins', 'PR: New Feature']",2022-06-09 14:38:20+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/24318
24344,#24344_add_SPINDLE_CONTROL_M106_M107,4,False,closed,"['PR: New Feature', 'F: CNC / Laser']",2022-06-13 19:11:44+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/24344
24482,#24482_Add_config-dump_custom_target_that_dumps_current_config_as_a_set_of_opt___calls,2,False,closed,"['PR: New Feature', 'C: Build / Toolchain']",2022-07-10 23:44:53+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/24482
24654,#24654_[WIP]_CNC_System_and_Macro_Variables,3,False,open,"['PR: New Feature', 'F: CNC / Laser']",2022-08-19 19:10:55+00:00,Not yet closed,Unknown,[],https://github.com/MarlinFirmware/Marlin/pull/24654
24656,#24656_Support_for_STSPIN820_stepper_drivers,3,False,closed,"['PR: New Feature', 'C: Peripherals']",2022-08-19 21:52:53+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/24656
24714,#24714_✨_[WIP]_Expanded_M73_functionality_and_all-granular_progress_display_options,23,False,closed,['PR: New Feature'],2022-09-01 12:06:33+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/24714
24973,#24973_Support_for_TMC_drivers_with_internal_rSense,4,False,closed,"['PR: New Feature', 'F: Trinamic']",2022-11-09 11:52:25+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/24973
25021,#25021_Implement_a_validation_check_for_the_BLTouch,6,False,closed,"['PR: New Feature', 'F: Calibration', 'F: Z-Probes']",2022-11-26 16:42:24+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/25021
25382,#25382_[WIP]_Creality_Ender-5_S1,10,False,open,"['C: Boards/Pins', 'PR: New Feature', 'C: LCD & Controllers']",2023-02-14 07:14:57+00:00,Not yet closed,Unknown,[],https://github.com/MarlinFirmware/Marlin/pull/25382
25570,#25570_CNC_ABORT_ON_ENDSTOP_HIT,8,False,open,"['PR: New Feature', 'F: CNC / Laser']",2023-03-26 02:13:06+00:00,Not yet closed,Unknown,[],https://github.com/MarlinFirmware/Marlin/pull/25570
25590,#25590_Extruder_as_spindle_(WIP),0,False,closed,"['PR: New Feature', 'F: CNC / Laser']",2023-03-28 18:17:27+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/25590
25974,#25974_Trinamic_TMC2240,13,False,open,"['Needs: Work', 'Needs: Testing', 'PR: New Feature', 'C: Configuration', 'F: Trinamic', 'C: Peripherals', 'C: Motion']",2023-06-12 07:10:29+00:00,Not yet closed,Unknown,[],https://github.com/MarlinFirmware/Marlin/pull/25974
26084,"#26084_Variable_number_of_G29_grid_points_(UBL,_Bilinear)",28,False,open,"['PR: New Feature', 'F: Calibration', 'help wanted']",2023-07-15 19:35:17+00:00,Not yet closed,Unknown,[],https://github.com/MarlinFirmware/Marlin/pull/26084
26241,#26241_Runout_sensor_swapping,5,False,open,"['PR: New Feature', 'F: Filament Sensor']",2023-09-05 21:32:14+00:00,Not yet closed,Unknown,[],https://github.com/MarlinFirmware/Marlin/pull/26241
26581,#26581_Add_kick_start_to_extruder_auto_fans,3,False,closed,"['PR: New Feature', 'C: Temperatures']",2023-12-28 07:53:08+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/26581
26635,#26635_MMU3_Feature,77,False,open,"['Needs: Work', 'PR: New Feature', 'C: Peripherals']",2024-01-06 13:45:25+00:00,Not yet closed,Unknown,[],https://github.com/MarlinFirmware/Marlin/pull/26635
26761,#26761_Add_Extra_ProUI_features,10,False,open,"['PR: New Feature', 'F: Calibration', 'C: LCD & Controllers']",2024-02-01 08:02:14+00:00,Not yet closed,Unknown,[],https://github.com/MarlinFirmware/Marlin/pull/26761
26818,#26818_Reporting_of_virtual_tools_via__M165_R__and_increase_support_to_8_mixing_extruders,1,False,closed,"['PR: New Feature', 'S: Superseded']",2024-02-25 13:00:50+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/26818
26922,"#26922_Implement_Push_Pull_V-Tool,_Report_All_Mixes_via_M165_R,_and_full_E_support",0,False,open,"['Needs: Testing', 'PR: New Feature']",2024-03-30 16:20:33+00:00,Not yet closed,Unknown,[],https://github.com/MarlinFirmware/Marlin/pull/26922
27015,#27015_M428_axis_filters,3,False,open,"['PR: New Feature', 'C: Motion']",2024-04-25 01:20:32+00:00,Not yet closed,Unknown,[],https://github.com/MarlinFirmware/Marlin/pull/27015
27072,#27072_Linear_fan_kickstart_time,12,False,open,"['PR: New Feature', 'C: Peripherals']",2024-05-09 10:23:39+00:00,Not yet closed,Unknown,[],https://github.com/MarlinFirmware/Marlin/pull/27072
27243,#27243_Support_Contact_probe_with_bed_scanner_eddy_sensor,1,False,open,"['PR: New Feature', 'F: Z-Probes']",2024-07-05 09:07:38+00:00,Not yet closed,Unknown,[],https://github.com/MarlinFirmware/Marlin/pull/27243
27334,#27334_Marlin_Peltier_Logic_implementation,3,False,open,"['PR: New Feature', 'C: Temperatures']",2024-08-07 02:01:24+00:00,Not yet closed,Unknown,[],https://github.com/MarlinFirmware/Marlin/pull/27334
