,concept:name,org:resource,time:timestamp,Activity,case:concept:name
2374,Refactor,(3b50b6aeb1dec836d6bf26f0c8af2b5bb1b7de48),2023-04-30,Refactor,#22916
2375,Refactor,(2691167afe02fbbe74b0fdca2c28a49fac635741),2023-06-02,Refactor,#22916
2376,Refactor,(5b8b8e005b87fad983314bb78bb62604bd8aa8af),2023-06-17,Refactor,#22916
2377,BugFix,(381515721481d09c4f30ca8a526e90fc39602fd9),2023-07-17,BugFix,#22916
2378,BugFix,(fe8266b59105c24a6dced92bfd604374e5e9ef8d),2023-11-30,BugFix,#22916
2379,NewFeature,(eef9e046904c382def0735c89dd3ea9961658554),2021-12-14,NewFeature,#22941
2380,NewFeature,(d4c78edfe37c62e82aee9bfa3ca8b685e3d5cb62),2021-11-24,NewFeature,#23080
2381,Refactor,(0539e870de30877a38c78d29a304a97a6068cc80),2021-11-27,Refactor,#23080
2382,Refactor,(1bd921d6a69412686fa4b31c4c1e5710de9840cf),2022-01-06,Refactor,#23080
2383,Refactor,(504fec98237a1042819eba145ae39ad14cc49a1e),2022-07-16,Refactor,#23080
2384,Refactor,(2419a167ee7e0c488969ee656f9c6d3e8c65f02a),2022-07-20,Refactor,#23080
2385,Refactor,(06e5273d24776219253a9229621c034ab263cba7),2023-03-31,Refactor,#23080
2386,Refactor,(9a7d9e6995f4f66c4b48147ec7876d49d4b3ae77),2023-04-27,Refactor,#23080
2387,Refactor,(79b0f3158556933699cab4c5ed4e8e798b4ef4d8),2023-05-11,Refactor,#23080
2388,NewFeature,(7110d11c9d8933c8c412c2fabd3b065a5ab97b6e),2021-11-23,NewFeature,#23086
2389,BugFix,(716d74131576c01c69f438e7640cc9857334bd0e),2021-11-27,BugFix,#23086
2390,Refactor,(6fb2d8a25f096d084348a6f6930f515d947474d4),2021-12-28,Refactor,#23086
2391,Refactor,(c4873a64ecd54dc0bbccb1eaeecd1b5ae2f6aef5),2022-04-03,Refactor,#23086
2392,Refactor,(54e7b933cdb6d0bf0d69fd661b585100d76e3c88),2022-07-03,Refactor,#23086
2393,Refactor,(24a9a66f0a238cb59cc6bfc7ff235713eefc3614),2023-03-26,Refactor,#23086
2394,BugFix,(b3198ed92942c848bea66a6e41b02ec1d11471ff),2023-04-13,BugFix,#23086
2395,Refactor,(9a7d9e6995f4f66c4b48147ec7876d49d4b3ae77),2023-04-27,Refactor,#23086
2396,Refactor,(79b0f3158556933699cab4c5ed4e8e798b4ef4d8),2023-05-11,Refactor,#23086
2397,Refactor,(e89e67fde0d3d745d7d468e5972456f7484f9027),2023-05-13,Refactor,#23086
